312.75	1.6367	0.21882	312.75	1.6367	0.21882	312.75	2.0086	0.18217	
314.34	1.6345	0.21826	314.34	1.6345	0.21826	314.34	1.9925	0.17426	
315.92	1.6318	0.21805	315.92	1.6318	0.21805	315.92	1.979	0.16991	
317.51	1.6289	0.21856	317.51	1.6289	0.21856	317.51	1.9648	0.16763	
319.1	1.6259	0.21987	319.1	1.6259	0.21987	319.1	1.9524	0.1672	
320.68	1.6232	0.22184	320.68	1.6232	0.22184	320.68	1.9432	0.16787	
322.27	1.6209	0.22458	322.27	1.6209	0.22458	322.27	1.9342	0.17013	
323.86	1.6189	0.22793	323.86	1.6189	0.22793	323.86	1.9285	0.1728	
325.44	1.6174	0.23198	325.44	1.6174	0.23198	325.44	1.9253	0.17603	
327.03	1.6167	0.23639	327.03	1.6167	0.23639	327.03	1.9263	0.17931	
328.62	1.6167	0.2412	328.62	1.6167	0.2412	328.62	1.9295	0.18161	
330.2	1.6177	0.24616	330.2	1.6177	0.24616	330.2	1.9342	0.18141	
331.79	1.62	0.25091	331.79	1.62	0.25091	331.79	1.9413	0.18001	
333.38	1.6232	0.25514	333.38	1.6232	0.25514	333.38	1.9514	0.17584	
334.96	1.6272	0.25876	334.96	1.6272	0.25876	334.96	1.9605	0.16702	
336.55	1.6316	0.26152	336.55	1.6316	0.26152	336.55	1.9713	0.15602	
338.14	1.6368	0.26309	338.14	1.6368	0.26309	338.14	1.9779	0.14195	
339.73	1.642	0.26366	339.73	1.642	0.26366	339.73	1.9824	0.12557	
341.31	1.6467	0.26345	341.31	1.6467	0.26345	341.31	1.9838	0.1073	
342.9	1.6514	0.26288	342.9	1.6514	0.26288	342.9	1.9828	0.089432	
344.49	1.656	0.26148	344.49	1.656	0.26148	344.49	1.9816	0.073022	
346.07	1.66	0.25948	346.07	1.66	0.25948	346.07	1.9766	0.056532	
347.66	1.6632	0.25782	347.66	1.6632	0.25782	347.66	1.9732	0.042082	
349.25	1.6646	0.25512	349.25	1.6646	0.25512	349.25	1.9765	0.027507	
350.83	1.6659	0.25048	350.83	1.6659	0.25048	350.83	1.958	0.012843	
352.42	1.6692	0.24712	352.42	1.6692	0.24712	352.42	1.9408	0.0009397	
354.01	1.6732	0.24506	354.01	1.6732	0.24506	354.01	1.9261	0	
355.6	1.6746	0.24165	355.6	1.6746	0.24165	355.6	1.913	0	
357.18	1.6754	0.23814	357.18	1.6754	0.23814	357.18	1.8998	0	
358.77	1.6759	0.23461	358.77	1.6759	0.23461	358.77	1.8877	0	
360.36	1.6755	0.23117	360.36	1.6755	0.23117	360.36	1.8773	0	
